============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 keV) ==> Tungsten+SiO@2+Silicon(  2.5 um) ===========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B  769  1 ,1545272E+05 -  1053898E-06  ,2200E+03  ,1861E+02  -,6530267  ,7469927  ,1247323
B  770  1 ,1035218E+05 -  1621820E-07  ,5193E+03  ,1474E+03  -,8950258  ,0848032  ,4378782
B  773  1 ,7947863E+04 -  1328992E-06  ,1081E+04  ,8773E+02  -,8547866  ,4741892 -,2109133
B  774  1 ,1666327E+05 -  2472507E-07  ,4059E+03  ,4293E+02  -,5627656  ,7941827  ,2292788
B  776  1 ,8794015E+04 -  1392338E-07  ,8040E+03  ,1486E+03  -,1739937  ,9840381  ,0373519
B  777  1 ,9535674E+04 -  1143175E-06  ,9629E+03 -,2192E+03  -,5123845  ,8344777  ,2027538
B  780  1 ,9942331E+04 -  1017861E-06  ,4987E+03  ,2462E+03  -,5393947  ,2849591  ,7923709
B  782  1 ,4458386E+04 -  1047477E-06  ,6240E+03 -,5781E+03  -,6538315 -,4141482 -,6332343
B  789  1 ,1760046E+05 -  6749862E-07  ,2343E+03  ,6656E+02  -,2696365  ,7491234  ,6050705
B  791  1 ,1303457E+05 -  2858499E-07  ,4343E+03  ,1507E+03  -,5240023  ,3896829  ,7573433
B  792  1 ,2351672E+04 -  7441282E-07  ,9247E+03  ,6612E+03  -,7612319  ,4482748 -,4685890
B  794  1 ,1557086E+05 -  4958823E-07  ,3235E+03 -,1092E+03  -,3932550  ,9176283 -,0575221
B  795  1 ,5928326E+04 -  1164162E-07  ,6243E+02  ,8097E+02  -,5046739  ,1921899  ,8416456
B  796  1 ,4329921E+04 -  5824193E-07  ,1286E+04 -,8738E+02  -,4229045  ,5002703  ,7555670
B  797  1 ,9845252E+04 -  1749098E-07  ,6176E+03  ,2787E+02  -,4890409  ,7676020 -,4142779
B  798  1 ,8337806E+04 -  6980026E-07  ,5194E+03  ,2517E+03  -,8146852  ,5461868 -,1948539
B  799  1 ,6411102E+03 -  8602181E-07  ,2951E+03 -,1039E+04  -,5445695 -,5824509  ,6034858
B  801  1 ,1529539E+05 -  8112716E-08  ,1366E+03 -,5310E+02  -,7226934 -,0239624 -,6907533
B  803  1 ,9997663E+04 -  2127429E-07  ,8608E+03  ,1219E+02  -,4567909  ,8836003 -,1029204
B  805  1 ,1295370E+05 -  1682607E-07  ,3853E+03 -,5487E+02  -,9221264  ,3181793 -,2201020
B  807  1 ,2711041E+04 -  7624473E-07  ,1048E+04 -,2503E+03  -,9925497 -,1166456  ,0351979
B  808  1 ,6317858E+04 -  6753947E-07  ,9416E+03  ,5729E+03  -,7488638 -,1860262  ,6360796
B  809  1 ,9578661E+04 -  2743711E-07  ,5605E+03  ,3206E+02  -,4643867  ,1731597  ,8685394
B  811  1 ,1774370E+05 -  4070772E-07  ,2334E+03 -,1686E+02  -,2002810  ,9749104 -,0971450
B  813  1 ,1253180E+05 -  1110290E-06  ,7373E+03  ,1822E+03  -,8594076  ,4620320 -,2189635
B  814  1 ,5499020E+04 -  1600473E-07  ,1122E+04  ,4674E+03  -,8748110  ,4406501 -,2013285
B  815  1 ,1040380E+05 -  6840036E-07  ,3203E+03  ,6766E+03  -,4945523  ,3578956  ,7920409
B  816  1 ,7322960E+04 -  1439947E-06  ,9372E+03 -,1030E+04  -,8869764 -,1616602 -,4325956
B  817  1 ,7269966E+04 -  7358131E-07  ,8799E+03 -,6063E+03  -,5223368  ,0213989 -,8524707
B  818  1 ,7891550E+04 -  4612363E-07  ,5222E+03 -,2377E+03  -,7541465  ,6346992 -,1685825
B  819  1 ,4271384E+04 -  3971613E-07  ,8868E+03  ,2986E+02  -,9583600 -,2164466 -,1862711
B  821  1 ,4256000E+03 -  1627026E-06  ,7737E+03  ,3670E+03  -,6639015  ,6812236  ,3084950
B  824  1 ,1782847E+05 -  1312335E-07  ,3487E+03  ,2136E+02  -,3387086  ,9401858 -,0364305
